angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.14,,,"[396, 170, 232, 269]",,,0.0,,,0.13,,,0.0,,,0.46,,,0.27,,,0.0,,
0.13,,,"[396, 170, 232, 269]",,,0.0,,,0.13,,,0.0,,,0.47,,,0.27,,,0.0,,
0.13,,,"[397, 170, 231, 269]",,,0.0,,,0.14,,,0.0,,,0.48,,,0.26,,,0.0,,
0.11,,,"[397, 170, 232, 268]",,,0.0,,,0.15,,,0.0,,,0.46,,,0.27,,,0.0,,
0.12,,,"[397, 170, 232, 269]",,,0.0,,,0.14,,,0.0,,,0.48,,,0.25,,,0.0,,
0.13,,,"[397, 170, 232, 268]",,,0.0,,,0.15,,,0.0,,,0.47,,,0.26,,,0.0,,
0.14,,,"[398, 170, 231, 268]",,,0.0,,,0.15,,,0.0,,,0.45,,,0.26,,,0.0,,
0.14,,,"[398, 170, 231, 267]",,,0.0,,,0.14,,,0.0,,,0.42,,,0.3,,,0.0,,
0.15,,,"[397, 170, 232, 267]",,,0.0,,,0.14,,,0.0,,,0.42,,,0.3,,,0.0,,
0.16,,,"[398, 170, 232, 267]",,,0.0,,,0.13,,,0.0,,,0.42,,,0.29,,,0.0,,
0.18,,,"[397, 169, 233, 269]",,,0.0,,,0.13,,,0.0,,,0.38,,,0.31,,,0.0,,
0.17,,,"[397, 170, 232, 268]",,,0.0,,,0.12,,,0.0,,,0.39,,,0.31,,,0.0,,
0.18,,,"[397, 170, 232, 268]",,,0.0,,,0.11,,,0.0,,,0.4,,,0.31,,,0.0,,
0.16,,,"[397, 169, 232, 269]",,,0.0,,,0.11,,,0.0,,,0.42,,,0.3,,,0.0,,
0.17,,,"[398, 169, 231, 270]",,,0.0,,,0.1,,,0.0,,,0.43,,,0.29,,,0.0,,
0.19,,,"[398, 169, 233, 272]",,,0.0,,,0.08,,,0.0,,,0.38,,,0.35,,,0.0,,
0.2,,,"[399, 169, 231, 273]",,,0.0,,,0.1,,,0.0,,,0.34,,,0.35,,,0.0,,
0.13,,,"[399, 170, 232, 275]",,,0.0,,,0.08,,,0.0,,,0.37,,,0.41,,,0.0,,
0.15,,,"[399, 167, 235, 281]",,,0.0,,,0.06,,,0.0,,,0.3,,,0.49,,,0.0,,
0.2,,,"[398, 165, 240, 289]",,,0.0,,,0.07,,,0.0,,,0.22,,,0.51,,,0.0,,
0.23,,,"[399, 164, 241, 292]",,,0.0,,,0.07,,,0.0,,,0.25,,,0.44,,,0.01,,
0.22,,,"[400, 163, 241, 291]",,,0.0,,,0.06,,,0.0,,,0.28,,,0.43,,,0.01,,
0.19,,,"[402, 162, 239, 290]",,,0.0,,,0.06,,,0.0,,,0.27,,,0.48,,,0.0,,
0.2,,,"[402, 162, 240, 288]",,,0.0,,,0.08,,,0.0,,,0.28,,,0.43,,,0.0,,
0.21,,,"[406, 162, 235, 283]",,,0.0,,,0.17,,,0.0,,,0.25,,,0.37,,,0.0,,
0.2,,,"[408, 161, 233, 283]",,,0.0,,,0.18,,,0.0,,,0.26,,,0.36,,,0.0,,
0.18,,,"[409, 159, 233, 283]",,,0.0,,,0.16,,,0.0,,,0.31,,,0.35,,,0.0,,
0.16,,,"[410, 158, 232, 284]",,,0.0,,,0.19,,,0.0,,,0.29,,,0.36,,,0.0,,
0.14,,,"[410, 155, 237, 285]",,,0.0,,,0.19,,,0.0,,,0.3,,,0.37,,,0.0,,
0.24,,,"[410, 155, 234, 286]",,,0.0,,,0.1,,,0.0,,,0.28,,,0.38,,,0.0,,
0.25,,,"[412, 153, 233, 285]",,,0.0,,,0.07,,,0.0,,,0.27,,,0.4,,,0.0,,
0.23,,,"[409, 144, 249, 301]",,,0.0,,,0.06,,,0.01,,,0.42,,,0.28,,,0.0,,
0.27,,,"[413, 146, 245, 294]",,,0.0,,,0.06,,,0.01,,,0.38,,,0.28,,,0.0,,
0.14,,,"[414, 143, 238, 288]",,,0.0,,,0.14,,,0.01,,,0.27,,,0.44,,,0.0,,
0.18,,,"[418, 152, 231, 287]",,,0.0,,,0.1,,,0.01,,,0.4,,,0.31,,,0.0,,
0.24,,,"[417, 152, 234, 290]",,,0.0,,,0.08,,,0.01,,,0.42,,,0.24,,,0.0,,
0.24,,,"[417, 153, 233, 290]",,,0.0,,,0.1,,,0.01,,,0.37,,,0.29,,,0.0,,
0.44,,,"[413, 144, 248, 301]",,,0.0,,,0.07,,,0.01,,,0.24,,,0.24,,,0.01,,
0.39,,,"[410, 142, 251, 306]",,,0.0,,,0.08,,,0.01,,,0.31,,,0.2,,,0.01,,
0.38,,,"[411, 143, 251, 305]",,,0.0,,,0.09,,,0.01,,,0.34,,,0.18,,,0.01,,
0.31,,,"[414, 145, 241, 298]",,,0.0,,,0.1,,,0.01,,,0.33,,,0.25,,,0.0,,
0.26,,,"[422, 153, 237, 291]",,,0.0,,,0.12,,,0.01,,,0.37,,,0.24,,,0.0,,
0.25,,,"[421, 150, 238, 289]",,,0.0,,,0.13,,,0.0,,,0.39,,,0.22,,,0.0,,
0.17,,,"[421, 143, 241, 286]",,,0.0,,,0.13,,,0.0,,,0.43,,,0.26,,,0.0,,
