box,angry,disgust,fear,happy,sad,surprise,neutral
"[599, 150, 315, 407]",0.4,0.0,0.04,0.01,0.18,0.01,0.36
"[599, 150, 316, 406]",0.47,0.0,0.03,0.01,0.23,0.01,0.25
"[600, 150, 315, 406]",0.41,0.0,0.04,0.01,0.26,0.01,0.28
"[599, 150, 315, 406]",0.4,0.0,0.04,0.01,0.28,0.01,0.27
"[599, 150, 315, 405]",0.39,0.0,0.05,0.01,0.3,0.01,0.23
"[600, 149, 314, 408]",0.34,0.0,0.05,0.01,0.3,0.01,0.29
"[600, 150, 314, 406]",0.37,0.0,0.04,0.01,0.32,0.01,0.25
"[599, 149, 315, 408]",0.36,0.0,0.04,0.01,0.3,0.01,0.28
"[599, 150, 315, 407]",0.34,0.0,0.04,0.02,0.28,0.01,0.3
"[599, 150, 314, 406]",0.46,0.0,0.07,0.01,0.27,0.02,0.18
"[599, 149, 315, 408]",0.42,0.0,0.07,0.01,0.3,0.02,0.18
"[599, 149, 316, 410]",0.35,0.0,0.07,0.02,0.23,0.02,0.31
"[600, 151, 314, 406]",0.37,0.0,0.08,0.02,0.24,0.03,0.26
"[593, 160, 299, 393]",0.3,0.0,0.06,0.01,0.21,0.0,0.42
"[600, 150, 315, 410]",0.32,0.0,0.05,0.04,0.17,0.02,0.39
"[593, 160, 299, 395]",0.25,0.0,0.05,0.01,0.24,0.0,0.44
"[599, 150, 316, 413]",0.38,0.0,0.06,0.03,0.12,0.01,0.41
"[599, 150, 316, 413]",0.42,0.0,0.06,0.04,0.13,0.01,0.34
"[597, 151, 319, 415]",0.55,0.0,0.14,0.03,0.11,0.01,0.17
"[596, 147, 321, 424]",0.46,0.0,0.21,0.03,0.21,0.03,0.06
"[598, 151, 321, 421]",0.48,0.0,0.15,0.03,0.24,0.02,0.07
"[598, 151, 321, 421]",0.48,0.0,0.17,0.03,0.23,0.02,0.06
"[597, 150, 321, 420]",0.37,0.0,0.15,0.03,0.22,0.03,0.2
"[599, 150, 316, 412]",0.47,0.0,0.08,0.01,0.05,0.02,0.38
"[597, 153, 302, 404]",0.45,0.0,0.06,0.01,0.06,0.01,0.41
"[595, 150, 306, 407]",0.37,0.0,0.23,0.02,0.09,0.08,0.21
"[598, 148, 322, 423]",0.31,0.01,0.18,0.05,0.23,0.1,0.13
"[596, 149, 325, 423]",0.39,0.01,0.19,0.04,0.21,0.07,0.1
"[594, 151, 326, 419]",0.44,0.0,0.2,0.02,0.24,0.04,0.06
"[596, 151, 325, 419]",0.37,0.01,0.21,0.03,0.22,0.08,0.09
"[596, 151, 324, 419]",0.32,0.01,0.22,0.03,0.24,0.09,0.09
"[593, 151, 314, 414]",0.33,0.0,0.21,0.04,0.19,0.05,0.18
"[595, 149, 317, 413]",0.36,0.0,0.06,0.02,0.07,0.01,0.49
"[596, 151, 315, 411]",0.44,0.0,0.05,0.01,0.06,0.01,0.43
"[596, 152, 315, 410]",0.35,0.0,0.06,0.03,0.05,0.01,0.5
"[598, 154, 313, 410]",0.41,0.0,0.06,0.02,0.06,0.0,0.46
"[598, 155, 312, 409]",0.48,0.0,0.06,0.01,0.06,0.01,0.37
"[597, 156, 312, 409]",0.53,0.0,0.07,0.02,0.07,0.01,0.3
"[597, 154, 312, 412]",0.59,0.0,0.04,0.02,0.09,0.01,0.25
"[592, 153, 318, 419]",0.58,0.0,0.06,0.03,0.12,0.01,0.2
"[595, 155, 318, 420]",0.41,0.01,0.16,0.07,0.18,0.06,0.11
"[594, 158, 316, 417]",0.55,0.01,0.11,0.03,0.23,0.04,0.03
"[595, 159, 315, 418]",0.53,0.01,0.13,0.02,0.27,0.03,0.01
"[595, 160, 315, 417]",0.59,0.0,0.15,0.01,0.21,0.02,0.01
"[594, 159, 316, 418]",0.56,0.01,0.17,0.02,0.2,0.02,0.02
"[594, 159, 316, 418]",0.67,0.01,0.12,0.01,0.17,0.01,0.01
"[595, 158, 316, 419]",0.66,0.02,0.09,0.01,0.19,0.01,0.02
"[595, 159, 315, 418]",0.71,0.01,0.12,0.01,0.13,0.01,0.01
"[592, 169, 313, 411]",0.73,0.0,0.12,0.01,0.13,0.0,0.01
"[593, 193, 298, 388]",0.66,0.06,0.06,0.01,0.18,0.0,0.03
"[594, 168, 298, 403]",0.61,0.0,0.09,0.01,0.22,0.01,0.06
"[597, 160, 311, 407]",0.73,0.02,0.07,0.01,0.06,0.0,0.11
"[593, 159, 317, 408]",0.69,0.05,0.07,0.01,0.07,0.0,0.11
"[595, 161, 315, 405]",0.59,0.06,0.09,0.01,0.08,0.0,0.17
"[594, 161, 316, 405]",0.64,0.04,0.07,0.01,0.08,0.0,0.17
"[593, 160, 316, 407]",0.63,0.02,0.08,0.01,0.08,0.0,0.18
"[594, 162, 316, 407]",0.52,0.01,0.09,0.01,0.11,0.0,0.26
"[594, 162, 316, 406]",0.53,0.0,0.07,0.0,0.13,0.0,0.26
"[593, 159, 314, 407]",0.63,0.01,0.04,0.0,0.13,0.01,0.19
"[595, 161, 310, 403]",0.54,0.0,0.05,0.0,0.19,0.01,0.21
"[595, 160, 309, 405]",0.57,0.01,0.04,0.0,0.16,0.01,0.2
"[597, 160, 309, 405]",0.61,0.0,0.06,0.0,0.17,0.02,0.13
"[599, 161, 307, 408]",0.54,0.0,0.05,0.0,0.29,0.01,0.11
"[598, 162, 307, 407]",0.51,0.01,0.06,0.0,0.24,0.02,0.15
"[600, 163, 306, 406]",0.48,0.0,0.06,0.0,0.28,0.02,0.16
"[600, 162, 306, 407]",0.45,0.0,0.05,0.0,0.34,0.02,0.13
"[600, 162, 307, 408]",0.43,0.0,0.06,0.0,0.35,0.02,0.14
"[599, 161, 309, 409]",0.44,0.0,0.07,0.0,0.38,0.02,0.08
"[599, 160, 309, 411]",0.46,0.01,0.08,0.0,0.33,0.02,0.09
"[598, 160, 311, 412]",0.41,0.01,0.13,0.0,0.32,0.02,0.1
"[598, 160, 314, 414]",0.45,0.01,0.16,0.01,0.23,0.03,0.11
"[595, 158, 317, 417]",0.47,0.03,0.17,0.01,0.23,0.03,0.06
"[596, 159, 316, 418]",0.55,0.01,0.13,0.01,0.23,0.04,0.03
"[596, 159, 316, 419]",0.55,0.01,0.12,0.02,0.21,0.06,0.03
"[597, 160, 316, 416]",0.49,0.01,0.1,0.02,0.3,0.03,0.06
"[594, 160, 315, 408]",0.34,0.0,0.15,0.06,0.16,0.04,0.25
"[595, 164, 312, 402]",0.22,0.0,0.05,0.02,0.27,0.0,0.44
"[602, 169, 307, 398]",0.22,0.0,0.05,0.01,0.42,0.0,0.3
"[595, 162, 311, 403]",0.31,0.0,0.05,0.02,0.2,0.0,0.42
"[595, 155, 313, 414]",0.36,0.0,0.08,0.03,0.16,0.01,0.36
"[598, 158, 312, 410]",0.43,0.0,0.09,0.02,0.14,0.0,0.3
"[598, 159, 315, 411]",0.39,0.0,0.08,0.02,0.2,0.01,0.3
"[599, 157, 312, 412]",0.59,0.0,0.03,0.01,0.18,0.0,0.19
"[600, 156, 313, 414]",0.47,0.0,0.04,0.02,0.22,0.0,0.24
"[600, 159, 320, 419]",0.44,0.0,0.13,0.04,0.3,0.02,0.07
"[603, 162, 320, 420]",0.24,0.0,0.08,0.02,0.62,0.01,0.03
"[595, 157, 321, 417]",0.42,0.0,0.07,0.05,0.36,0.02,0.08
"[601, 158, 314, 411]",0.49,0.0,0.06,0.01,0.22,0.01,0.21
"[599, 157, 316, 411]",0.51,0.0,0.08,0.01,0.21,0.01,0.19
"[599, 157, 316, 410]",0.55,0.0,0.07,0.01,0.21,0.0,0.16
"[599, 156, 316, 411]",0.59,0.0,0.06,0.0,0.22,0.01,0.12
"[600, 158, 315, 410]",0.53,0.0,0.08,0.0,0.23,0.01,0.15
"[601, 158, 317, 413]",0.36,0.0,0.06,0.01,0.36,0.01,0.2
"[604, 157, 315, 413]",0.37,0.0,0.08,0.01,0.38,0.01,0.15
"[602, 157, 314, 412]",0.46,0.01,0.09,0.01,0.26,0.01,0.17
"[599, 157, 315, 410]",0.59,0.0,0.08,0.0,0.2,0.0,0.12
"[599, 156, 315, 410]",0.62,0.0,0.06,0.0,0.2,0.01,0.11
"[601, 153, 316, 415]",0.52,0.0,0.05,0.01,0.26,0.01,0.15
"[595, 161, 300, 398]",0.6,0.0,0.03,0.0,0.11,0.0,0.25
"[592, 143, 307, 417]",0.64,0.0,0.1,0.01,0.07,0.06,0.11
"[598, 148, 319, 425]",0.61,0.0,0.1,0.03,0.08,0.08,0.09
"[602, 157, 326, 425]",0.44,0.0,0.15,0.05,0.17,0.14,0.05
"[602, 158, 326, 423]",0.44,0.0,0.13,0.04,0.16,0.17,0.05
"[596, 152, 317, 420]",0.62,0.0,0.09,0.04,0.04,0.14,0.07
"[596, 152, 317, 418]",0.73,0.01,0.07,0.01,0.07,0.06,0.04
"[596, 152, 318, 419]",0.72,0.01,0.07,0.01,0.08,0.08,0.04
"[599, 157, 327, 423]",0.55,0.0,0.07,0.03,0.11,0.16,0.09
"[599, 155, 328, 425]",0.48,0.0,0.08,0.02,0.1,0.26,0.06
"[599, 156, 328, 424]",0.41,0.0,0.08,0.02,0.09,0.34,0.06
"[599, 156, 328, 424]",0.41,0.0,0.08,0.02,0.09,0.34,0.06
"[599, 156, 328, 424]",0.4,0.0,0.08,0.02,0.11,0.33,0.06
"[598, 156, 328, 425]",0.46,0.0,0.08,0.02,0.15,0.23,0.06
"[600, 156, 328, 424]",0.3,0.0,0.15,0.02,0.11,0.39,0.03
"[599, 156, 330, 424]",0.34,0.0,0.23,0.03,0.15,0.23,0.03
"[595, 151, 319, 422]",0.5,0.0,0.2,0.01,0.06,0.19,0.03
"[595, 151, 318, 422]",0.33,0.0,0.18,0.02,0.05,0.39,0.03
"[596, 151, 318, 422]",0.37,0.0,0.19,0.02,0.06,0.33,0.03
"[596, 151, 318, 423]",0.32,0.0,0.17,0.02,0.06,0.4,0.03
"[596, 151, 319, 424]",0.33,0.0,0.16,0.03,0.09,0.36,0.03
"[595, 150, 319, 424]",0.4,0.0,0.21,0.02,0.05,0.3,0.01
"[595, 151, 319, 424]",0.37,0.0,0.16,0.02,0.1,0.33,0.02
"[595, 150, 320, 425]",0.37,0.0,0.17,0.02,0.08,0.33,0.02
"[594, 150, 320, 425]",0.38,0.0,0.2,0.02,0.09,0.3,0.01
"[594, 150, 321, 426]",0.43,0.0,0.15,0.03,0.06,0.31,0.02
"[594, 149, 320, 427]",0.41,0.0,0.16,0.02,0.07,0.32,0.02
"[593, 149, 320, 428]",0.47,0.0,0.12,0.04,0.05,0.3,0.01
"[599, 158, 327, 425]",0.33,0.0,0.25,0.03,0.16,0.2,0.03
"[599, 160, 327, 424]",0.24,0.0,0.39,0.03,0.13,0.2,0.01
"[599, 160, 327, 424]",0.27,0.0,0.39,0.02,0.17,0.13,0.01
"[599, 159, 327, 426]",0.32,0.0,0.36,0.03,0.15,0.12,0.01
"[598, 155, 329, 430]",0.4,0.0,0.26,0.03,0.17,0.11,0.03
"[596, 152, 329, 434]",0.41,0.01,0.21,0.05,0.14,0.16,0.02
"[595, 151, 328, 433]",0.39,0.01,0.21,0.05,0.05,0.28,0.01
"[591, 148, 323, 432]",0.46,0.01,0.17,0.07,0.07,0.2,0.02
"[596, 152, 325, 427]",0.35,0.0,0.17,0.12,0.06,0.27,0.02
"[598, 165, 314, 414]",0.43,0.0,0.1,0.01,0.44,0.0,0.01
"[599, 166, 314, 415]",0.43,0.0,0.08,0.02,0.45,0.0,0.02
"[596, 157, 324, 427]",0.48,0.0,0.19,0.03,0.26,0.02,0.02
"[597, 152, 326, 428]",0.49,0.01,0.24,0.05,0.15,0.05,0.02
"[597, 151, 327, 430]",0.38,0.01,0.29,0.09,0.07,0.15,0.01
"[596, 150, 328, 431]",0.34,0.01,0.27,0.11,0.06,0.19,0.02
"[595, 150, 328, 434]",0.6,0.02,0.24,0.02,0.04,0.07,0.01
"[598, 150, 326, 430]",0.38,0.01,0.26,0.1,0.07,0.15,0.02
"[598, 154, 330, 433]",0.42,0.0,0.28,0.05,0.15,0.06,0.04
"[600, 158, 328, 430]",0.31,0.0,0.48,0.02,0.08,0.1,0.01
"[600, 159, 327, 429]",0.3,0.0,0.46,0.03,0.11,0.1,0.01
"[599, 158, 328, 429]",0.24,0.0,0.5,0.04,0.08,0.14,0.01
"[600, 158, 327, 429]",0.2,0.0,0.53,0.03,0.07,0.15,0.01
"[600, 159, 326, 427]",0.19,0.0,0.61,0.02,0.06,0.11,0.01
"[591, 148, 323, 430]",0.36,0.0,0.31,0.07,0.08,0.14,0.03
"[591, 147, 331, 428]",0.25,0.0,0.29,0.03,0.1,0.24,0.1
"[594, 146, 328, 424]",0.42,0.0,0.29,0.01,0.1,0.12,0.05
"[597, 152, 322, 418]",0.35,0.0,0.22,0.01,0.21,0.05,0.16
"[592, 159, 319, 409]",0.23,0.0,0.1,0.01,0.58,0.01,0.07
"[590, 160, 321, 408]",0.16,0.0,0.09,0.01,0.64,0.01,0.08
"[590, 158, 320, 410]",0.19,0.0,0.09,0.01,0.59,0.01,0.1
"[592, 158, 317, 407]",0.22,0.0,0.11,0.01,0.56,0.0,0.09
"[582, 160, 293, 400]",0.23,0.0,0.08,0.0,0.5,0.01,0.18
"[580, 153, 295, 406]",0.37,0.0,0.21,0.01,0.24,0.07,0.1
"[584, 151, 322, 418]",0.57,0.0,0.04,0.0,0.17,0.01,0.2
"[583, 146, 327, 423]",0.56,0.0,0.05,0.01,0.11,0.07,0.2
"[583, 147, 328, 424]",0.47,0.0,0.1,0.02,0.13,0.08,0.21
"[582, 148, 323, 421]",0.49,0.0,0.13,0.02,0.11,0.09,0.16
"[582, 147, 323, 421]",0.42,0.0,0.11,0.03,0.14,0.07,0.22
"[582, 144, 323, 425]",0.41,0.0,0.12,0.03,0.1,0.2,0.14
"[581, 141, 323, 428]",0.22,0.0,0.14,0.04,0.1,0.36,0.13
"[579, 139, 324, 430]",0.17,0.0,0.18,0.04,0.08,0.46,0.07
"[584, 138, 326, 433]",0.2,0.0,0.3,0.03,0.08,0.35,0.03
"[581, 142, 320, 424]",0.13,0.0,0.31,0.01,0.04,0.5,0.01
"[582, 143, 317, 422]",0.13,0.0,0.33,0.01,0.05,0.46,0.01
"[585, 146, 308, 415]",0.22,0.0,0.31,0.01,0.05,0.38,0.03
"[580, 139, 317, 423]",0.6,0.0,0.15,0.01,0.06,0.1,0.08
"[580, 141, 315, 417]",0.61,0.0,0.11,0.01,0.07,0.08,0.12
"[580, 141, 312, 416]",0.5,0.0,0.12,0.01,0.08,0.13,0.15
"[578, 141, 310, 419]",0.2,0.0,0.2,0.02,0.04,0.49,0.05
"[570, 136, 318, 433]",0.14,0.0,0.28,0.02,0.04,0.48,0.03
"[567, 137, 321, 438]",0.18,0.0,0.36,0.05,0.06,0.31,0.03
"[571, 142, 310, 426]",0.2,0.0,0.34,0.02,0.06,0.34,0.04
"[570, 143, 307, 422]",0.25,0.0,0.23,0.03,0.08,0.32,0.09
"[569, 144, 307, 417]",0.37,0.0,0.25,0.03,0.15,0.12,0.08
"[571, 149, 300, 406]",0.4,0.0,0.22,0.01,0.12,0.17,0.07
"[572, 150, 300, 404]",0.45,0.0,0.14,0.02,0.23,0.03,0.13
"[570, 151, 299, 402]",0.4,0.0,0.18,0.01,0.22,0.05,0.13
"[569, 149, 302, 403]",0.35,0.0,0.1,0.01,0.31,0.02,0.21
"[571, 151, 299, 402]",0.31,0.0,0.16,0.01,0.23,0.08,0.21
"[568, 148, 301, 406]",0.27,0.0,0.14,0.01,0.32,0.04,0.22
"[565, 147, 303, 408]",0.29,0.0,0.09,0.01,0.26,0.03,0.31
"[570, 149, 298, 402]",0.41,0.0,0.13,0.01,0.21,0.05,0.2
"[570, 149, 298, 401]",0.47,0.0,0.07,0.0,0.2,0.03,0.23
"[566, 144, 303, 406]",0.44,0.0,0.08,0.01,0.24,0.03,0.2
"[563, 144, 304, 406]",0.36,0.01,0.12,0.02,0.17,0.06,0.27
"[568, 144, 300, 401]",0.52,0.0,0.11,0.01,0.19,0.03,0.14
"[571, 144, 298, 401]",0.5,0.0,0.08,0.0,0.24,0.02,0.16
"[567, 139, 303, 409]",0.52,0.0,0.09,0.01,0.22,0.02,0.14
"[560, 137, 312, 417]",0.34,0.0,0.23,0.01,0.19,0.08,0.14
"[561, 136, 309, 416]",0.33,0.0,0.16,0.03,0.18,0.07,0.23
"[563, 138, 305, 411]",0.33,0.0,0.15,0.03,0.22,0.05,0.22
"[559, 132, 303, 418]",0.26,0.0,0.14,0.03,0.25,0.02,0.3
"[565, 144, 277, 399]",0.21,0.02,0.17,0.03,0.39,0.01,0.16
"[563, 147, 276, 394]",0.2,0.01,0.2,0.06,0.39,0.01,0.15
"[561, 137, 290, 414]",0.24,0.0,0.25,0.04,0.25,0.02,0.19
"[557, 145, 278, 401]",0.18,0.01,0.21,0.06,0.39,0.01,0.13
"[557, 147, 280, 405]",0.23,0.01,0.3,0.05,0.21,0.02,0.18
"[556, 136, 293, 422]",0.21,0.01,0.32,0.04,0.16,0.07,0.18
"[555, 136, 293, 423]",0.2,0.01,0.38,0.06,0.15,0.08,0.13
"[552, 135, 294, 423]",0.2,0.01,0.39,0.04,0.14,0.1,0.13
"[552, 138, 292, 418]",0.27,0.01,0.34,0.02,0.2,0.07,0.09
"[549, 156, 304, 401]",0.24,0.01,0.3,0.01,0.23,0.05,0.17
"[547, 156, 305, 398]",0.19,0.0,0.21,0.02,0.32,0.02,0.23
"[549, 158, 300, 394]",0.14,0.0,0.15,0.01,0.34,0.02,0.33
"[548, 160, 301, 394]",0.18,0.0,0.17,0.01,0.28,0.02,0.33
"[547, 160, 301, 394]",0.18,0.0,0.17,0.01,0.28,0.02,0.34
"[548, 160, 301, 395]",0.18,0.0,0.21,0.01,0.27,0.03,0.31
"[547, 161, 301, 394]",0.17,0.0,0.21,0.01,0.26,0.03,0.31
"[548, 161, 300, 393]",0.17,0.0,0.21,0.01,0.26,0.02,0.33
"[548, 163, 299, 392]",0.21,0.0,0.2,0.01,0.24,0.03,0.31
"[551, 161, 299, 396]",0.18,0.0,0.22,0.01,0.22,0.03,0.33
"[548, 144, 301, 413]",0.16,0.0,0.31,0.0,0.27,0.03,0.22
"[549, 144, 299, 411]",0.17,0.0,0.38,0.0,0.23,0.03,0.19
"[549, 144, 300, 413]",0.19,0.0,0.35,0.0,0.24,0.03,0.18
"[548, 147, 300, 410]",0.22,0.0,0.31,0.0,0.25,0.04,0.18
"[548, 147, 300, 409]",0.2,0.0,0.32,0.0,0.24,0.04,0.2
"[548, 147, 300, 409]",0.22,0.0,0.36,0.0,0.22,0.03,0.16
"[548, 148, 300, 407]",0.24,0.0,0.3,0.01,0.24,0.03,0.18
"[548, 150, 298, 403]",0.26,0.0,0.2,0.01,0.26,0.03,0.25
"[546, 151, 297, 404]",0.23,0.0,0.3,0.0,0.24,0.03,0.2
"[547, 151, 295, 404]",0.21,0.0,0.29,0.0,0.22,0.03,0.25
"[546, 149, 299, 409]",0.25,0.0,0.23,0.0,0.22,0.03,0.27
"[548, 151, 289, 412]",0.36,0.0,0.16,0.01,0.22,0.02,0.24
"[549, 148, 291, 416]",0.36,0.0,0.17,0.02,0.21,0.01,0.23
"[548, 145, 300, 416]",0.34,0.01,0.14,0.0,0.17,0.02,0.32
"[555, 145, 297, 417]",0.4,0.01,0.15,0.01,0.18,0.01,0.23
"[548, 154, 309, 407]",0.23,0.06,0.16,0.02,0.36,0.0,0.17
"[554, 148, 313, 425]",0.27,0.01,0.18,0.06,0.23,0.01,0.25
"[563, 171, 295, 390]",0.18,0.02,0.14,0.02,0.39,0.03,0.23
"[572, 170, 289, 381]",0.11,0.01,0.08,0.02,0.49,0.01,0.29
"[581, 152, 307, 404]",0.16,0.01,0.11,0.03,0.5,0.03,0.17
"[592, 153, 302, 405]",0.2,0.07,0.16,0.01,0.42,0.05,0.08
"[594, 151, 301, 415]",0.21,0.02,0.14,0.02,0.53,0.03,0.06
"[597, 166, 301, 398]",0.17,0.01,0.09,0.03,0.6,0.02,0.08
"[598, 162, 311, 403]",0.22,0.01,0.12,0.01,0.6,0.02,0.03
"[617, 155, 308, 409]",0.3,0.0,0.33,0.01,0.3,0.03,0.02
"[606, 152, 316, 414]",0.43,0.0,0.26,0.01,0.26,0.03,0.02
"[609, 146, 320, 422]",0.38,0.0,0.33,0.01,0.2,0.02,0.05
"[613, 146, 319, 417]",0.39,0.0,0.16,0.01,0.14,0.01,0.28
"[619, 144, 319, 420]",0.38,0.0,0.15,0.01,0.08,0.02,0.36
"[620, 143, 322, 422]",0.21,0.0,0.13,0.01,0.14,0.02,0.48
"[619, 141, 324, 422]",0.32,0.0,0.1,0.02,0.1,0.02,0.45
"[629, 143, 313, 410]",0.11,0.0,0.03,0.01,0.07,0.0,0.78
"[627, 144, 321, 412]",0.19,0.0,0.04,0.01,0.1,0.01,0.65
"[626, 144, 321, 412]",0.17,0.0,0.04,0.0,0.09,0.01,0.69
"[625, 144, 322, 412]",0.15,0.0,0.03,0.0,0.09,0.01,0.71
"[624, 142, 324, 416]",0.13,0.0,0.05,0.01,0.07,0.02,0.72
"[619, 140, 324, 416]",0.13,0.0,0.05,0.02,0.08,0.02,0.69
"[616, 139, 326, 422]",0.16,0.0,0.2,0.03,0.1,0.06,0.46
"[619, 137, 322, 421]",0.21,0.0,0.15,0.02,0.15,0.07,0.4
"[616, 134, 321, 424]",0.27,0.0,0.09,0.03,0.11,0.04,0.45
"[613, 136, 323, 424]",0.41,0.0,0.18,0.02,0.12,0.07,0.2
"[610, 137, 325, 425]",0.32,0.0,0.28,0.04,0.11,0.06,0.19
"[608, 140, 322, 420]",0.33,0.0,0.23,0.05,0.12,0.04,0.23
"[616, 148, 312, 396]",0.53,0.0,0.1,0.01,0.04,0.02,0.3
"[602, 139, 324, 417]",0.47,0.0,0.13,0.03,0.04,0.05,0.27
"[603, 142, 312, 411]",0.44,0.0,0.13,0.05,0.07,0.02,0.3
"[602, 141, 310, 411]",0.45,0.0,0.15,0.05,0.04,0.03,0.28
"[599, 149, 312, 406]",0.54,0.0,0.16,0.03,0.04,0.07,0.16
"[594, 146, 320, 413]",0.43,0.0,0.14,0.03,0.08,0.13,0.19
"[593, 143, 323, 422]",0.23,0.0,0.22,0.07,0.05,0.36,0.07
"[596, 143, 323, 424]",0.18,0.0,0.23,0.06,0.05,0.46,0.03
"[594, 143, 328, 428]",0.19,0.0,0.16,0.12,0.04,0.46,0.04
"[596, 140, 326, 430]",0.62,0.0,0.09,0.03,0.06,0.14,0.07
"[598, 143, 326, 428]",0.54,0.0,0.08,0.05,0.06,0.16,0.12
"[599, 146, 326, 427]",0.41,0.0,0.08,0.05,0.16,0.19,0.12
"[600, 147, 324, 425]",0.32,0.0,0.22,0.04,0.13,0.25,0.04
"[600, 149, 326, 428]",0.33,0.0,0.09,0.07,0.23,0.19,0.09
"[602, 149, 325, 428]",0.15,0.0,0.15,0.06,0.2,0.4,0.04
"[603, 150, 317, 424]",0.43,0.0,0.16,0.04,0.11,0.18,0.08
"[605, 151, 315, 421]",0.47,0.0,0.12,0.02,0.13,0.16,0.09
"[604, 150, 325, 424]",0.37,0.0,0.12,0.02,0.08,0.35,0.07
"[606, 153, 315, 417]",0.46,0.0,0.12,0.02,0.11,0.16,0.12
"[606, 152, 323, 423]",0.29,0.0,0.13,0.03,0.11,0.35,0.08
"[607, 150, 325, 428]",0.35,0.0,0.16,0.03,0.09,0.31,0.07
"[606, 151, 328, 428]",0.21,0.0,0.24,0.02,0.06,0.43,0.04
"[609, 139, 313, 424]",0.53,0.01,0.17,0.01,0.13,0.12,0.04
"[608, 151, 321, 425]",0.53,0.0,0.03,0.02,0.08,0.19,0.14
"[609, 141, 313, 419]",0.59,0.01,0.04,0.01,0.08,0.02,0.25
"[609, 141, 313, 420]",0.51,0.0,0.04,0.02,0.09,0.02,0.32
"[609, 142, 312, 418]",0.55,0.0,0.03,0.02,0.07,0.02,0.32
"[610, 142, 311, 418]",0.52,0.0,0.04,0.03,0.06,0.05,0.3
"[606, 140, 315, 422]",0.44,0.0,0.05,0.06,0.09,0.05,0.32
"[607, 141, 313, 421]",0.49,0.0,0.05,0.05,0.07,0.07,0.28
"[603, 157, 324, 422]",0.32,0.0,0.05,0.06,0.08,0.31,0.17
"[604, 158, 318, 417]",0.28,0.0,0.09,0.03,0.07,0.4,0.13
"[608, 155, 318, 424]",0.37,0.0,0.11,0.04,0.06,0.32,0.1
"[610, 156, 312, 421]",0.3,0.0,0.1,0.04,0.04,0.46,0.06
"[609, 153, 313, 424]",0.3,0.01,0.18,0.03,0.04,0.39,0.05
"[608, 151, 315, 429]",0.45,0.01,0.06,0.05,0.07,0.16,0.21
"[610, 151, 315, 427]",0.41,0.01,0.06,0.05,0.08,0.19,0.2
"[608, 150, 319, 426]",0.52,0.03,0.08,0.03,0.08,0.14,0.13
"[609, 149, 324, 427]",0.32,0.01,0.14,0.05,0.08,0.3,0.1
"[611, 154, 319, 414]",0.49,0.01,0.14,0.02,0.06,0.17,0.11
"[610, 153, 317, 411]",0.37,0.01,0.03,0.07,0.05,0.02,0.44
"[615, 156, 315, 409]",0.31,0.01,0.06,0.05,0.07,0.07,0.44
"[613, 157, 321, 412]",0.12,0.0,0.04,0.14,0.04,0.09,0.56
"[613, 150, 324, 418]",0.25,0.01,0.05,0.2,0.05,0.06,0.39
"[614, 151, 323, 416]",0.3,0.01,0.06,0.14,0.05,0.07,0.36
"[613, 149, 323, 418]",0.25,0.01,0.05,0.18,0.06,0.08,0.37
"[617, 153, 320, 414]",0.22,0.0,0.1,0.1,0.05,0.25,0.3
"[615, 153, 320, 413]",0.15,0.0,0.08,0.11,0.06,0.25,0.35
"[611, 141, 331, 427]",0.39,0.0,0.09,0.13,0.07,0.16,0.17
"[610, 144, 322, 420]",0.32,0.0,0.18,0.13,0.07,0.13,0.17
"[610, 141, 320, 421]",0.34,0.0,0.17,0.07,0.08,0.16,0.17
"[607, 148, 314, 404]",0.2,0.0,0.13,0.03,0.11,0.08,0.45
"[603, 144, 313, 405]",0.47,0.0,0.16,0.04,0.09,0.05,0.19
"[601, 141, 313, 408]",0.37,0.0,0.27,0.02,0.09,0.16,0.09
"[599, 141, 317, 412]",0.28,0.0,0.3,0.03,0.1,0.16,0.13
"[598, 140, 314, 411]",0.39,0.0,0.27,0.02,0.08,0.14,0.11
"[597, 139, 316, 412]",0.37,0.0,0.25,0.02,0.09,0.13,0.13
"[595, 140, 315, 409]",0.37,0.0,0.27,0.01,0.13,0.1,0.12
"[596, 147, 317, 407]",0.41,0.0,0.15,0.01,0.33,0.01,0.08
"[595, 151, 314, 401]",0.37,0.0,0.08,0.0,0.45,0.0,0.09
"[596, 150, 315, 405]",0.45,0.0,0.09,0.01,0.39,0.0,0.06
"[594, 146, 318, 409]",0.55,0.0,0.14,0.01,0.22,0.01,0.07
"[595, 144, 319, 413]",0.45,0.0,0.2,0.02,0.23,0.02,0.09
"[597, 146, 319, 412]",0.45,0.0,0.25,0.01,0.23,0.02,0.03
"[593, 141, 321, 418]",0.44,0.0,0.21,0.01,0.25,0.03,0.06
"[594, 139, 320, 420]",0.44,0.0,0.25,0.01,0.2,0.03,0.06
"[593, 139, 320, 419]",0.36,0.0,0.3,0.02,0.2,0.06,0.07
"[593, 143, 323, 420]",0.34,0.0,0.38,0.01,0.19,0.06,0.03
"[592, 143, 324, 420]",0.3,0.0,0.43,0.01,0.16,0.07,0.02
"[591, 144, 323, 419]",0.33,0.0,0.46,0.01,0.14,0.05,0.01
"[591, 145, 322, 418]",0.34,0.0,0.45,0.01,0.13,0.05,0.02
"[591, 144, 323, 419]",0.26,0.0,0.48,0.01,0.12,0.09,0.03
